CIC_MEM_VERS	=	1.0																			
CREATION_DATE	=	2012-03-29T11:35:51.065																			
ORIGINATOR	=	CNES	- DCT/DA/PA-																	

META_START
																					
COMMENT																					
COMMENT	Consumed power :
COMMENT	SURVIE VEILLE        : 68 W
COMMENT	VEILLE               : 103 W
COMMENT	ACQUISITION          : 137 W
COMMENT	MANOEUVRE D'ATTITUDE : 110 W
COMMENT	TRANSMISSION BANDE S : 118 W
COMMENT	TRANSMISSION BANDE X : 173 W
COMMENT
						
OBJECT_NAME	=	CIC-Sat																			
OBJECT_ID	=	CIC-Sat																			

USER_DEFINED_PROTOCOL	=	CIC																			
USER_DEFINED_CONTENT	=	SATELLITE_CONSUMED_POWER

TIME_SYSTEM	=	UTC
																			
META_STOP		

57578	4420	68
57578	4430	68
57578	4440	68
57578	4450	68
57578	4460	68
57578	4470	68
57578	4480	68
57578	4490	68
57578	4500	68
57578	4510	68
57578	4520	68
57578	4530	68
57578	4540	68
57578	4550	68
57578	4560	68
57578	4570	68
57578	4580	68
57578	4590	68
57578	4600	68
57578	4610	68
57578	4620	68
57578	4630	68
57578	4640	68
57578	4650	68
57578	4660	68
57578	4670	68
57578	4680	68
57578	4690	68
57578	4700	68
57578	4710	68
57578	4720	68
57578	4730	68
57578	4740	68
57578	4750	68
57578	4760	68
57578	4770	68
57578	4780	68
57578	4790	68
57578	4800	68
57578	4810	68
57578	4820	68
57578	4830	68
57578	4840	68
57578	4850	68
57578	4860	68
57578	4870	68
57578	4880	68
57578	4890	68
57578	4900	68
57578	4910	68
57578	4920	68
57578	4930	68
57578	4940	68
57578	4950	68
57578	4960	68
57578	4970	68
57578	4980	68
57578	4990	68
57578	5000	68
57578	5010	68
57578	5020	68
57578	5030	68
57578	5040	68
57578	5050	68
57578	5060	68
57578	5070	68
57578	5080	68
57578	5090	68
57578	5100	68
57578	5110	68
57578	5120	68
57578	5130	68
57578	5140	68
57578	5150	68
57578	5160	68
57578	5170	68
57578	5180	68
57578	5190	68
57578	5200	68
57578	5210	68
57578	5220	68
57578	5230	68
57578	5240	68
57578	5250	68
57578	5260	68
57578	5270	68
57578	5280	68
57578	5290	68
57578	5300	68
57578	5310	68
57578	5320	68
57578	5330	68
57578	5340	68
57578	5350	68
57578	5360	68
57578	5370	68
57578	5380	68
57578	5390	68
57578	5400	68
57578	5410	68
57578	5420	68
57578	5430	68
57578	5440	68
57578	5450	68
57578	5460	68
57578	5470	68
57578	5480	68
57578	5490	68
57578	5500	68
57578	5510	68
57578	5520	68
57578	5530	68
57578	5540	68
57578	5550	68
57578	5560	68
57578	5570	68
57578	5580	68
57578	5590	68
57578	5600	68
57578	5610	68
57578	5620	68
57578	5630	68
57578	5640	68
57578	5650	68
57578	5660	68
57578	5670	68
57578	5680	68
57578	5690	68
57578	5700	68
57578	5710	68
57578	5720	68
57578	5730	68
57578	5740	68
57578	5750	68
57578	5760	68
57578	5770	68
57578	5780	68
57578	5790	68
57578	5800	68
57578	5810	68
57578	5820	68
57578	5830	68
57578	5840	68
57578	5850	68
57578	5860	68
57578	5870	68
57578	5880	68
57578	5890	68
57578	5900	68
57578	5910	68
57578	5920	68
57578	5930	68
57578	5940	68
57578	5950	68
57578	5960	68
57578	5970	68
57578	5980	68
57578	5990	68
57578	6000	68
57578	6010	68
57578	6020	68
57578	6030	68
57578	6040	68
57578	6050	68
57578	6060	68
57578	6070	68
57578	6080	68
57578	6090	68
57578	6100	68
57578	6110	68
57578	6120	68
57578	6130	68
57578	6140	68
57578	6150	68
57578	6160	68
57578	6170	68
57578	6180	68
57578	6190	68
57578	6200	68
57578	6210	68
57578	6220	68
57578	6230	68
57578	6240	68
57578	6250	68
57578	6260	68
57578	6270	68
57578	6280	68
57578	6290	68
57578	6300	68
57578	6310	68
57578	6320	68
57578	6330	68
57578	6340	68
57578	6350	68
57578	6360	68
57578	6370	68
57578	6380	68
57578	6390	68
57578	6400	68
57578	6410	68
57578	6420	68
57578	6430	68
57578	6440	68
57578	6450	68
57578	6460	68
57578	6470	68
57578	6480	68
57578	6490	68
57578	6500	68
57578	6510	68
57578	6520	68
57578	6530	68
57578	6540	68
57578	6550	68
57578	6560	68
57578	6570	68
57578	6580	68
57578	6590	68
57578	6600	68
57578	6610	68
57578	6620	68
57578	6630	68
57578	6640	68
57578	6650	68
57578	6660	68
57578	6670	68
57578	6680	68
57578	6690	68
57578	6700	68
57578	6710	68
57578	6720	68
57578	6730	68
57578	6740	68
57578	6750	68
57578	6760	68
57578	6770	68
57578	6780	68
57578	6790	68
57578	6800	68
57578	6810	68
57578	6820	68
57578	6830	68
57578	6840	68
57578	6850	68
57578	6860	68
57578	6870	68
57578	6880	68
57578	6890	68
57578	6900	68
57578	6910	68
57578	6920	68
57578	6930	68
57578	6940	68
57578	6950	68
57578	6960	68
57578	6970	68
57578	6980	68
57578	6990	68
57578	7000	68
57578	7010	68
57578	7020	68
57578	7030	68
57578	7040	68
57578	7050	68
57578	7060	68
57578	7070	68
57578	7080	68
57578	7090	68
57578	7100	68
57578	7110	68
57578	7120	68
57578	7130	68
57578	7140	68
57578	7150	68
57578	7160	68
57578	7170	68
57578	7180	68
57578	7190	68
57578	7200	68
57578	7210	68
57578	7220	68
57578	7230	68
57578	7240	68
57578	7250	68
57578	7260	68
57578	7270	68
57578	7280	68
57578	7290	68
57578	7300	68
57578	7310	68
57578	7320	68
57578	7330	68
57578	7340	68
57578	7350	68
57578	7360	68
57578	7370	68
57578	7380	68
57578	7390	68
57578	7400	68
57578	7410	68
57578	7420	68
57578	7430	68
57578	7440	68
57578	7450	68
57578	7460	68
57578	7470	68
57578	7480	68
57578	7490	68
57578	7500	68
57578	7510	68
57578	7520	68
57578	7530	68
57578	7540	68
57578	7550	68
57578	7560	68
57578	7570	68
57578	7580	68
57578	7590	68
57578	7600	68
57578	7610	68
57578	7620	68
57578	7630	68
57578	7640	68
57578	7650	68
57578	7660	68
57578	7670	68
57578	7680	68
57578	7690	68
57578	7700	68
57578	7710	68
57578	7720	68
57578	7730	68
57578	7740	68
57578	7750	68
57578	7760	68
57578	7770	68
57578	7780	68
57578	7790	68
57578	7800	68
57578	7810	68
57578	7820	68
57578	7830	68
57578	7840	68
57578	7850	68
57578	7860	68
57578	7870	68
57578	7880	68
57578	7890	68
57578	7900	68
57578	7910	68
