CIC_MEM_VERS = 1.0
CREATION_DATE  = 2012-03-29T11:35:52.253
ORIGINATOR     = CNES - DCT/SB/MS

META_START

OBJECT_NAME = CIC-Sat
OBJECT_ID = CIC-Sat

USER_DEFINED_PROTOCOL = CIC
USER_DEFINED_CONTENT = ROTATION_ANGLE_SA_1
TIME_SYSTEM = UTC

META_STOP

57578 2770.00000 0.00111
57578 2780.00000 0.00113
57578 2790.00000 0.00116
57578 2800.00000 0.00118
57578 2810.00000 0.00120
57578 2820.00000 0.00123
57578 2830.00000 0.00125
57578 2840.00000 0.00127
57578 2850.00000 0.00129
57578 2860.00000 0.00131
57578 2870.00000 0.00134
57578 2880.00000 0.00136
57578 2890.00000 0.00138
57578 2900.00000 0.00140
57578 2910.00000 0.00142
57578 2920.00000 0.00144
57578 2930.00000 0.00145
57578 2940.00000 0.00147
57578 2950.00000 0.00149
57578 2960.00000 0.00150
57578 2970.00000 0.00151
57578 2980.00000 0.00153
57578 2990.00000 0.00154
57578 3000.00000 0.00155
57578 3010.00000 0.00156
57578 3020.00000 0.00156
57578 3030.00000 0.00157
57578 3040.00000 0.00157
57578 3050.00000 0.00158
57578 3060.00000 0.00158
57578 3070.00000 0.00158
57578 3080.00000 0.00158
57578 3090.00000 0.00157
57578 3100.00000 0.00157
57578 3110.00000 0.00156
57578 3120.00000 0.00155
57578 3130.00000 0.00154
57578 3140.00000 0.00152
57578 3150.00000 0.00151
57578 3160.00000 0.00149
57578 3170.00000 0.00147
57578 3180.00000 0.00145
57578 3190.00000 0.00142
57578 3200.00000 0.00140
57578 3210.00000 0.00137
57578 3220.00000 0.00134
57578 3230.00000 0.00131
57578 3240.00000 0.00127
57578 3250.00000 0.00123
57578 3260.00000 0.00120
57578 3270.00000 0.00115
57578 3280.00000 0.00111
57578 3290.00000 0.00107
57578 3300.00000 0.00102
57578 3310.00000 0.00097
57578 3320.00000 0.00092
57578 3330.00000 0.00087
57578 3340.00000 0.00081
57578 3350.00000 0.00076
57578 3360.00000 0.00070
57578 3370.00000 0.00064
57578 3380.00000 0.00058
57578 3390.00000 0.00052
57578 3400.00000 0.00045
57578 3410.00000 0.00039
57578 3420.00000 0.00032
57578 3430.00000 0.00025
57578 3440.00000 0.00019
57578 3450.00000 0.00012
57578 3460.00000 0.00004
57578 3470.00000 -0.00003
57578 3480.00000 -0.00010
57578 3490.00000 -0.00017
57578 3500.00000 -0.00025
57578 3510.00000 -0.00032
57578 3520.00000 -0.00040
57578 3530.00000 -0.00047
57578 3540.00000 -0.00055
57578 3550.00000 -0.00062
57578 3560.00000 -0.00070
57578 3570.00000 -0.00077
57578 3580.00000 -0.00085
57578 3590.00000 -0.00092
57578 3600.00000 -0.00100
57578 3610.00000 -0.00107
57578 3620.00000 -0.00115
57578 3630.00000 -0.00122
57578 3640.00000 -0.00129
57578 3650.00000 -0.00136
57578 3660.00000 -0.00143
57578 3670.00000 -0.00150
57578 3680.00000 -0.00157
57578 3690.00000 -0.00163
57578 3700.00000 -0.00170
57578 3710.00000 -0.00176
57578 3720.00000 -0.00182
57578 3730.00000 -0.00188
57578 3740.00000 -0.00194
57578 3750.00000 -0.00200
57578 3760.00000 -0.00205
57578 3770.00000 -0.00211
57578 3780.00000 -0.00216
57578 3790.00000 -0.00220
57578 3800.00000 -0.00225
57578 3810.00000 -0.00229
57578 3820.00000 -0.00233
57578 3830.00000 -0.00237
57578 3840.00000 -0.00241
57578 3850.00000 -0.00244
57578 3860.00000 -0.00247
57578 3870.00000 -0.00250
57578 3880.00000 -0.00253
57578 3890.00000 -0.00255
57578 3900.00000 -0.00257
57578 3910.00000 -0.00259
57578 3920.00000 -0.00260
57578 3930.00000 -0.00261
57578 3940.00000 -0.00262
57578 3950.00000 -0.00263
57578 3960.00000 -0.00263
57578 3970.00000 -0.00263
57578 3980.00000 -0.00263
57578 3990.00000 -0.00262
57578 4000.00000 -0.00261
57578 4010.00000 -0.00260
57578 4020.00000 -0.00259
57578 4030.00000 -0.00257
57578 4040.00000 -0.00255
57578 4050.00000 -0.00253
57578 4060.00000 -0.00250
57578 4070.00000 -0.00247
57578 4080.00000 -0.00244
57578 4090.00000 -0.00241
57578 4100.00000 -0.00237
57578 4110.00000 -0.00234
57578 4120.00000 -0.00230
57578 4130.00000 -0.00225
57578 4140.00000 -0.00221
57578 4150.00000 -0.00216
57578 4160.00000 -0.00211
57578 4170.00000 -0.00206
57578 4180.00000 -0.00201
57578 4190.00000 -0.00195
57578 4200.00000 -0.00190
57578 4210.00000 -0.00184
57578 4220.00000 -0.00178
57578 4230.00000 -0.00172
57578 4240.00000 -0.00165
57578 4250.00000 -0.00159
57578 4260.00000 -0.00152
57578 4270.00000 -0.00146
57578 4280.00000 -0.00139
57578 4290.00000 -0.00132
57578 4300.00000 -0.00125
